package,sequence_length,additive_anim_type,ref_pose_seq,enable_root_motion,playback,sha256
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Transitions/A_TFA_FP_AR_Transition_Crouch_End,1.4333332777023315,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Poses/A_TFA_FP_AR_Idle_Pose_Standing.A_TFA_FP_AR_Idle_Pose_Standing,False,Native pose evaluation at 4 phases; no end-to-end playback claim,2745815ca4abea28d2461baee5b335a9cb4025db61bb8e7d06c7b5acdb400b1b
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Transitions/A_TFA_FP_AR_Transition_Crouch_End_Aimed,1.4333332777023315,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Poses/A_TFA_FP_AR_Idle_Pose_Standing.A_TFA_FP_AR_Idle_Pose_Standing,False,Native pose evaluation at 4 phases; no end-to-end playback claim,96e739d3e32217c1cee07fd70e0cc58849f617b930a2d4283d3c3987a17ff570
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Transitions/A_TFA_FP_AR_Transition_Crouch_Start,1.2333333492279053,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Poses/A_TFA_FP_AR_Idle_Pose_Standing.A_TFA_FP_AR_Idle_Pose_Standing,False,Native pose evaluation at 4 phases; no end-to-end playback claim,c558d492239b20022f0d0ff6fe2fb622214f6f1a8146314a39893f623533b314
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Transitions/A_TFA_FP_AR_Transition_Crouch_Start_Aimed,1.2333333492279053,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Poses/A_TFA_FP_AR_Idle_Pose_Standing.A_TFA_FP_AR_Idle_Pose_Standing,False,Native pose evaluation at 4 phases; no end-to-end playback claim,0b7730cf1368132f0bdb3ee1660b92768a3ac2649a953237186668adcd51a6fc
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Transitions/A_TFA_FP_AR_Transition_Run_End,1.4333332777023315,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Poses/A_TFA_FP_AR_Idle_Pose_Standing.A_TFA_FP_AR_Idle_Pose_Standing,False,Native pose evaluation at 4 phases; no end-to-end playback claim,723529ef1f5fbe631fbaec533846bcd23368c2fbece79cf1841cea17a8453b3b
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Transitions/A_TFA_FP_AR_Transition_Walk_End,1.100000023841858,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/FP/Poses/A_TFA_FP_AR_Idle_Pose_Standing.A_TFA_FP_AR_Idle_Pose_Standing,False,Native pose evaluation at 4 phases; no end-to-end playback claim,c30618972ed6ee4e89e394fe0fbd66d98a1318c544e6e432e01e3693a0c3a03d
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Combat/A_TFA_TP_AR_Fire,1.4666666984558105,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Idle_Pose.A_TFA_TP_AR_Idle_Pose,False,Native pose evaluation at 4 phases; no end-to-end playback claim,f06d4b83da0a78f53413f9dc7f1dd0a6153b05cb4d7ec557c64a1c96b11815bf
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Combat/A_TFA_TP_AR_Fire_Empty,1.1333333253860474,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Idle_Pose.A_TFA_TP_AR_Idle_Pose,False,Native pose evaluation at 4 phases; no end-to-end playback claim,a81f00de32383af2513687a6cf0ba58dd5a2eaaaf2298bf0658e3dabd8f6bb25
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Combat/A_TFA_TP_AR_Reload,3.6666667461395264,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Idle_Pose.A_TFA_TP_AR_Idle_Pose,False,PIE end-to-end,ab9267eb2601ac79768b6cc136d7c1680daf7af0d8364df21b48f2d0053bba08
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Combat/A_TFA_TP_AR_Reload_Aimed,3.6666667461395264,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Aim_Pose.A_TFA_TP_AR_Aim_Pose,False,PIE end-to-end,58101de5f622bc6d7bf9587d168da2beb4a5d4fc846bdc6716095fae6c8da7d2
